Participant_ID;Gender;Nationality;Age;Food;Juice;Dessert
FPS001;Male;Indian;24;Traditional food;Fresh Juice;Maybe
FPS002;Female;Indian;22;Western Food;Carbonated drinks;Yes
FPS003;Male;Indian;31;Western Food;Fresh Juice;Maybe
FPS004;Female;Indian;25;Traditional food;Fresh Juice;Maybe
FPS005;Male;Indian;27;Traditional food;Fresh Juice;Maybe
FPS006;Male;Indian;24;Traditional food;Fresh Juice;Yes
FPS007;Female;Indian;34;Traditional food;Fresh Juice;Yes
FPS008;Male;Pakistani ;24;Western Food;Carbonated drinks;Yes
FPS009;Female;Indian;19;Traditional food;Fresh Juice;Yes
FPS010;Female;Indian;16;Western Food;Fresh Juice;Yes
FPS011;Male;Tanzanian;23;Traditional food;Fresh Juice;No
FPS012;Female;Indian;22;Traditional food;Fresh Juice;Yes
FPS013;Female;Indonesia;22;Traditional food;Fresh Juice;Maybe
FPS014;Female;Indian;24;Western Food;Carbonated drinks;Yes
FPS016;Male;Pakistan;25;Traditional food;Fresh Juice;Maybe
FPS017;Male;Maldivian ;26;Traditional food;Fresh Juice;No
FPS018;Male;MY;22;Traditional food;Fresh Juice;No
FPS019;Female;Malaysian;38;Traditional food;Fresh Juice;Maybe
FPS020;Female;Indian;31;Traditional food;Fresh Juice;Maybe
FPS021;Male;Malaysian ;21;Traditional food;Carbonated drinks;Maybe
FPS022;Male;Indonesia;20;Traditional food;Fresh Juice;Maybe
FPS023;Male;Malaysian;20;Western Food;Fresh Juice;Maybe
FPS024;Male;Malaysian;22;Western Food;Fresh Juice;Yes
FPS025;Male;Malaysian;20;Traditional food;Fresh Juice;Yes
FPS026;Female;Indonesian ;24;Traditional food;Fresh Juice;Yes
FPS027;Male;Indian;43;Traditional food;Fresh Juice;Maybe
FPS028;Female;Maldivian;29;Western Food;Fresh Juice;Yes
FPS029;Male;Indian;39;Traditional food;Fresh Juice;Yes
FPS030;Male;Indian;26;Traditional food;Fresh Juice;Yes
FPS031;Male;MALAYSIAN;21;Traditional food;Carbonated drinks;Maybe
FPS032;Female;MY;40;Western Food;Fresh Juice;Yes
FPS033;Male;Indian;13;Western Food;Fresh Juice;Maybe
FPS034;Male;Indian;13;Western Food;Fresh Juice;Maybe
FPS035;Male;Indian;13;Western Food;Fresh Juice;Maybe
FPS036;Male;Malaysia ;24;Western Food;Fresh Juice;Yes
FPS037;Male;Indian;13;Western Food;Fresh Juice;Maybe
FPS038;Male;Indian;24;Traditional food;Fresh Juice;Yes
FPS039;Male;Malaysian;21;Traditional food;Fresh Juice;Maybe
FPS040;Female;Indian;34;Traditional food;Fresh Juice;Maybe
FPS041;Female;Pakistani ;18;Traditional food;Fresh Juice;Maybe
FPS042;Male;Pakistani;26;Traditional food;Fresh Juice;Yes
FPS043;Male;Canadian;24;Western Food;Fresh Juice;Yes
FPS044;Male;Pakistani;60;Traditional food;Carbonated drinks;Yes
FPS045;Male;Malaysian;21;Western Food;Carbonated drinks;Yes
FPS046;Female;Nigerian ;21;Traditional food;Fresh Juice;Yes
FPS047;Male;Pakistani;24;Western Food;Fresh Juice;Yes
FPS048;Male;Indian;25;Western Food;Fresh Juice;Yes
FPS049;Male;Indian;23;Traditional food;Fresh Juice;Maybe
FPS050;Female;Algerian ;25;Traditional food;Fresh Juice;Yes
FPS051;Female;Indian;22;Traditional food;Fresh Juice;Maybe
FPS052;Male;Korean ;27;Western Food;Fresh Juice;No
FPS053;Male;Indian;26;Traditional food;Fresh Juice;No
FPS054;Female;Indian;30;Traditional food;Fresh Juice;Yes
FPS055;Female;Indian;25;Traditional food;Fresh Juice;Maybe
FPS056;Male;Indian;23;Western Food;Carbonated drinks;Yes
FPS057;Female;Indian;25;Traditional food;Fresh Juice;Yes
FPS058;Male;Indian;21;Traditional food;Fresh Juice;Maybe
FPS059;Male;Indian;47;Traditional food;Fresh Juice;No
FPS060;Male;Indian;21;Western Food;Carbonated drinks;Maybe
FPS061;Female;Indian;25;Traditional food;Fresh Juice;Maybe
FPS062;Female;Indian;30;Western Food;Fresh Juice;Maybe
FPS063;Female;Indian;54;Traditional food;Carbonated drinks;Yes
FPS064;Male;Seychellois;23;Traditional food;Carbonated drinks;Maybe
FPS065;Male;Indian;27;Traditional food;Carbonated drinks;Maybe
FPS066;Male;Indian;74;Traditional food;Fresh Juice;Yes
FPS067;Female;Indian;27;Traditional food;Fresh Juice;Yes
FPS068;Male;Indonesia;19;Traditional food;Fresh Juice;Maybe
FPS069;Male;Indonesain;19;Western Food;Carbonated drinks;Yes
FPS070;Female;Indian;80;Traditional food;Fresh Juice;Yes
FPS071;Female;Indian;25;Traditional food;Fresh Juice;No
FPS072;Male;Indian;34;Traditional food;Fresh Juice;Maybe
